bill_id,tag_id,created_at
09fd53cb-8b12-4bd4-bfe2-17b3bfd31410,05ef21b1-411d-41f0-9458-b8b6d519a048,2025-10-16 04:13:29.838685+00
09fd53cb-8b12-4bd4-bfe2-17b3bfd31410,5dd26ab9-a6db-48f6-b6e5-a58e11b0a8fe,2025-10-13 07:57:08.789338+00
09fd53cb-8b12-4bd4-bfe2-17b3bfd31410,b40b5d7a-99f7-441a-bfbd-db993c05d578,2025-12-09 09:08:06.314313+00
09fd53cb-8b12-4bd4-bfe2-17b3bfd31410,c1c52e34-bd7d-4e2c-8d19-8bd8fb3a41db,2025-10-13 07:57:08.789338+00
09fd53cb-8b12-4bd4-bfe2-17b3bfd31410,d5055d57-0951-4239-a3e7-f63485cd81c5,2025-10-13 07:57:08.789338+00
119d1abb-ca5a-40e8-87d7-e7ae6db0f7af,05ef21b1-411d-41f0-9458-b8b6d519a048,2025-11-24 14:33:24.909384+00
119d1abb-ca5a-40e8-87d7-e7ae6db0f7af,83099384-f737-4d7b-a41e-164c003925fe,2025-11-24 14:33:24.909384+00
119d1abb-ca5a-40e8-87d7-e7ae6db0f7af,b40b5d7a-99f7-441a-bfbd-db993c05d578,2025-12-03 10:17:22.537664+00
126f6408-fd43-4bfb-91f7-3bdd79890954,05ef21b1-411d-41f0-9458-b8b6d519a048,2025-11-14 11:15:44.850977+00
126f6408-fd43-4bfb-91f7-3bdd79890954,83099384-f737-4d7b-a41e-164c003925fe,2025-11-18 05:18:18.264102+00
126f6408-fd43-4bfb-91f7-3bdd79890954,b40b5d7a-99f7-441a-bfbd-db993c05d578,2025-12-03 10:16:38.643014+00
5b0d43c9-2d2e-4dea-a4c4-d9e3a59d95a6,05ef21b1-411d-41f0-9458-b8b6d519a048,2025-12-09 08:18:24.241258+00
5b0d43c9-2d2e-4dea-a4c4-d9e3a59d95a6,e9568f3a-ce5a-49ee-ac69-14cd1732b85d,2025-12-09 08:18:24.241258+00
5c51e69d-5a5f-475d-b323-d9b31fd3014f,05ef21b1-411d-41f0-9458-b8b6d519a048,2025-10-16 04:14:05.561781+00
5c51e69d-5a5f-475d-b323-d9b31fd3014f,61e6c1f9-be75-41c8-88c4-2009be01e3ae,2025-10-14 09:10:43.529436+00
67e0b771-6653-4542-9767-e0fe3a8599be,05ef21b1-411d-41f0-9458-b8b6d519a048,2025-12-09 08:29:18.507847+00
67e0b771-6653-4542-9767-e0fe3a8599be,e9568f3a-ce5a-49ee-ac69-14cd1732b85d,2025-12-09 08:29:18.507847+00
77e4482c-4bab-4ee3-824d-0a602995c13a,05ef21b1-411d-41f0-9458-b8b6d519a048,2025-11-18 00:21:47.433251+00
77e4482c-4bab-4ee3-824d-0a602995c13a,83099384-f737-4d7b-a41e-164c003925fe,2025-11-18 05:18:07.720233+00
77e4482c-4bab-4ee3-824d-0a602995c13a,b40b5d7a-99f7-441a-bfbd-db993c05d578,2025-12-03 10:16:18.681995+00
a6aad95e-5b88-4c60-995f-46940ad18fcb,05ef21b1-411d-41f0-9458-b8b6d519a048,2025-11-25 15:20:17.955375+00
a6aad95e-5b88-4c60-995f-46940ad18fcb,3cf65fac-c13d-4367-8a51-2e4f004efb2e,2025-11-25 15:20:17.955375+00
a6aad95e-5b88-4c60-995f-46940ad18fcb,b40b5d7a-99f7-441a-bfbd-db993c05d578,2025-12-09 09:07:10.661957+00
ca47a048-9271-4ff8-b77d-1a98acb4c741,05ef21b1-411d-41f0-9458-b8b6d519a048,2025-12-11 10:02:08.532725+00
ca47a048-9271-4ff8-b77d-1a98acb4c741,e9568f3a-ce5a-49ee-ac69-14cd1732b85d,2025-12-11 10:02:08.532725+00
dc1ae4cf-557e-4685-99a2-0843407ed6a5,7a32b542-8af5-4050-96b6-bc8eb1ba1b9a,2025-10-13 12:14:51.425361+00
dc1ae4cf-557e-4685-99a2-0843407ed6a5,83099384-f737-4d7b-a41e-164c003925fe,2025-11-18 05:18:53.785172+00
dc1ae4cf-557e-4685-99a2-0843407ed6a5,8b846e19-5d14-43e8-8582-57f6a216a525,2025-10-13 12:14:51.425361+00
dc1ae4cf-557e-4685-99a2-0843407ed6a5,921d8968-2063-43c9-8074-1292c7d1b8d8,2025-10-16 03:44:31.223278+00
dc1ae4cf-557e-4685-99a2-0843407ed6a5,b40b5d7a-99f7-441a-bfbd-db993c05d578,2025-12-03 10:17:11.663882+00
dc1ae4cf-557e-4685-99a2-0843407ed6a5,febc1928-e85f-4a60-a1d2-cdcd69dc681c,2025-10-13 12:14:51.425361+00